SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
447548,0,Cash loans,M,Y,Y,0,202500,545040,25537.5,450000,Family,Working,Secondary / secondary special,Married,House / apartment,0.010032,-10701,-724,-326,-3091,23,1,1,0,1,0,1,Sales staff,2,2,2,TUESDAY,9,0,0,0,0,0,0,Self-employed,0.219687861,0.709096944,0.554946769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,-1595,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447549,0,Cash loans,F,N,Y,0,180000,729792,31050,630000,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.007305,-17840,-121,-6279,-1400,,1,1,0,1,1,0,Laborers,2,3,3,WEDNESDAY,12,0,0,0,0,1,1,Industry: type 9,0.750218716,0.170382174,0.667457742,0.0278,0.0687,0.9901,0.864,0.0039,0,0.1034,0.0833,0.125,0.0153,0.0227,0.0314,0,0,0.0284,0.0713,0.9901,0.8693,0.004,0,0.1034,0.0833,0.125,0.0156,0.0248,0.0328,0,0,0.0281,0.0687,0.9901,0.8658,0.004,0,0.1034,0.0833,0.125,0.0155,0.0231,0.032,0,0,reg oper account,block of flats,0.0269,"Stone, brick",No,0,0,0,0,-1243,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
447550,0,Cash loans,M,Y,N,0,157500,942300,36643.5,675000,Family,Working,Secondary / secondary special,Married,House / apartment,0.01885,-10709,-940,-1137,-2626,0,1,1,0,1,0,0,Security staff,2,2,2,THURSDAY,17,0,1,1,0,1,1,Security,,0.215593005,0.495665829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
447551,0,Cash loans,M,Y,Y,2,360000,450000,48465,450000,Unaccompanied,Working,Higher education,Married,House / apartment,0.032561,-14084,-1333,-6212,-1108,6,1,1,0,1,1,1,Managers,4,1,1,FRIDAY,16,0,0,0,0,0,0,Business Entity Type 3,,0.792800556,0.609275667,0.066,0.0299,0.9493,0.3064,0.0034,0.04,0.1379,0.25,0.2917,0.0449,0.0504,0.0926,0.0154,0.0066,0.0672,0.031,0.9494,0.3336,0.0035,0.0403,0.1379,0.25,0.2917,0.0459,0.0551,0.0965,0.0156,0.007,0.0666,0.0299,0.9493,0.3157,0.0035,0.04,0.1379,0.25,0.2917,0.0457,0.0513,0.0943,0.0155,0.0067,not specified,block of flats,0.0762,"Stone, brick",No,1,0,1,0,-3090,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
447552,0,Revolving loans,F,N,Y,0,76500,180000,9000,180000,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.028663,-21146,365243,-9394,-4395,,1,0,0,1,0,0,,1,2,2,MONDAY,14,0,0,0,0,0,0,XNA,,0.176021595,0.719490785,0.1629,0.1798,0.9846,0.7892,0.0328,0,0.4138,0.1667,0.2083,0.0434,0.1286,0.1608,0.0193,0.025,0.166,0.1866,0.9846,0.7975,0.0331,0,0.4138,0.1667,0.2083,0.0444,0.1405,0.1675,0.0195,0.0264,0.1645,0.1798,0.9846,0.792,0.033,0,0.4138,0.1667,0.2083,0.0442,0.1308,0.1636,0.0194,0.0255,reg oper account,block of flats,0.1807,"Stone, brick",No,4,0,3,0,-1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
447553,0,Cash loans,F,N,Y,0,166500,521280,22216.5,450000,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.032561,-19627,-1884,-10399,-3181,,1,1,0,1,1,0,Core staff,2,1,1,SATURDAY,9,0,0,0,0,0,0,Kindergarten,,0.587380539,0.484851475,0.368,0.176,0.9846,0.7892,,0.4,0.1724,0.4583,0.5,0.0996,,0.2574,,,0.375,0.1826,0.9846,0.7975,,0.4028,0.1724,0.4583,0.5,0.1019,,0.201,,,0.3716,0.176,0.9846,0.792,,0.4,0.1724,0.4583,0.5,0.1013,,0.2621,,,reg oper account,block of flats,0.253,Panel,No,0,0,0,0,-2626,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
447555,0,Cash loans,F,N,Y,0,157500,377370,29331,315000,Unaccompanied,Working,Higher education,Married,House / apartment,0.009334,-21353,-1490,-9975,-4712,,1,1,0,1,0,0,,2,2,2,THURSDAY,13,0,0,0,0,0,0,Medicine,,0.627131672,0.627990819,0.0722,0.0313,0.9861,,,0.08,0.069,0.3333,,0.0502,,0.0707,,0,0.0735,0.0325,0.9861,,,0.0806,0.069,0.3333,,0.0514,,0.0737,,0,0.0729,0.0313,0.9861,,,0.08,0.069,0.3333,,0.0511,,0.072,,0,,block of flats,0.0659,Panel,No,4,0,3,0,-3488,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
447556,0,Cash loans,F,N,N,1,202500,1327500,38943,1327500,Unaccompanied,Working,Higher education,Married,House / apartment,0.005002,-11908,-3661,-6001,-1906,,1,1,1,1,0,0,Cooking staff,3,3,3,TUESDAY,20,0,0,0,0,0,0,Agriculture,,0.776246147,0.6041126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,1,-2560,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447557,0,Revolving loans,M,N,N,0,112500,337500,16875,337500,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.008474,-12493,-1180,-6092,-2346,,1,1,0,1,0,1,Core staff,2,2,2,THURSDAY,11,0,1,1,0,1,1,Trade: type 7,0.899019389,0.534394388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
447558,0,Cash loans,M,N,Y,1,112500,286704,24655.5,247500,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.00733,-11270,-3850,-4656,-3878,,1,1,0,1,0,0,Security staff,3,2,2,THURSDAY,14,0,0,0,0,0,0,Security,,0.64153555,0.474051289,0.2784,0,0.9851,,,0.2,0.1724,0.3333,,0,,0.1853,,0.0216,0.2836,0,0.9851,,,0.2014,0.1724,0.3333,,0,,0.193,,0.0229,0.281,0,0.9851,,,0.2,0.1724,0.3333,,0,,0.1886,,0.0221,,block of flats,0.1457,Panel,No,3,1,3,0,-454,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
